reason_for_credit_entry,sub_order_no,order_date,customer_state,product_name,sku,size,quantity,supplier_listed_price_(incl._gst_+_commission),supplier_discounted_price_(incl_gst_and_commision),order_status,pin,delivery_state,gst_amount,meesho_price,shipping_charges_total,final_price,forward_order_date,is_rto,day_of_week,day_of_month,month,is_weekend,is_month_start,is_month_end,pin_prefix,is_metro,state_clean,pin_rto_rate,pin_order_count,state_rto_rate,state_order_count,price_per_unit,discount_amount,discount_pct,shipping_to_price_ratio,price_category,has_valid_pincode,has_state,address_quality_score,product_rto_rate,product_order_count,product_length,pincode,dtdc_total_shipments,dtdc_failed_shipments,dtdc_failure_rate,dtdc_avg_delivery_days,dtdc_delivery_success_rate,dtdc_avg_address_quality,dtdc_avg_has_building,dtdc_avg_has_pincode,dtdc_avg_has_landmark,dtdc_avg_address_length,state,dtdc_state_shipments,dtdc_state_rto_rate,dtdc_state_avg_days,combined_pin_rto_rate,address_quality_delta,delivery_difficulty_score
DELIVERED,912010011757_1,2022-08-15,State Bank Of India, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Return,735211,State Bank Of India,64.3,1350,114,1464,2022-08-15,1.0,0,15,8,0,0,0,735,0,State Bank Of India,1.0,1,1.0,1,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,,,0.5998520710059172,2.992565055762082,0.5,1.0,1.0
RTO_COMPLETE,748208976472_1,2022-08-23,Jammu & Kashmir,Kalamkari print full flair narkali sut set,Kb 198,M,1,1400.0,1400.0,rto,180001,Jammu & Kashmir,66.68,1400,94,1494,2022-08-23,1.0,1,23,8,0,0,0,180,0,Jammu & Kashmir,1.0,1,0.4,5,1494.0,-94,0.0,0.06291834002677377,premium,1,1,1.0,0.5,2,42,,,,,,,,,,,,Jammu & Kashmir,1437.0,0.6123869171885873,2.965901183020181,0.5,1.0,1.0
DELIVERED,684818289255_1,2022-08-19,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Return,627855,Tamil Nadu,64.3,1350,114,1464,2022-08-19,1.0,4,19,8,0,0,0,627,0,Tamil Nadu,1.0,1,0.5,10,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Tamil Nadu,2635.0,0.6227703984819735,3.031499051233397,0.5,1.0,1.0
DELIVERED,640125783153_1,2022-08-25,Gujarat,Stylish designer digital printed work lehenga choli with duppata ,Dhk 1100,Semi Stitched,1,1500.0,1500.0,Delivered,382415,Gujarat,71.44,1500,148,1648,2022-08-25,0.0,3,25,8,0,0,1,382,0,Gujarat,0.0,3,0.125,8,1648.0,-148,0.0,0.08980582524271845,premium,1,1,1.0,0.0,3,65,,,,,,,,,,,,Gujarat,2737.0,0.59846547314578,2.989404457435148,0.0,1.0,1.0
DELIVERED,403153127441_1,2022-08-08,Uttar Pradesh,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLACK),1101 black,Semi Stitched,1,1749.0,1749.0,Delivered,226016,Uttar Pradesh,87.96,1847,0,1847,2022-08-08,0.0,0,8,8,0,0,0,226,0,Uttar Pradesh,0.0,1,0.4,10,1847.0,0,0.0,0.0,premium,1,1,1.0,0.5,2,187,,,,,,,,,,,,Uttar Pradesh,5514.0,0.6006528835690969,3.025208560029017,0.0,1.0,1.0
DELIVERED,882312666682_1,2022-08-20,Uttar Pradesh,FIVESTAR beautiful Designer Saree on premium Soft Net fabric with Sequence and Embroidery work and blouse on Velvet fabric with Sequence and Embroidery work,323,Free Size,1,1399.0,1399.0,Return,229128,Uttar Pradesh,71.52,1502,0,1502,2022-08-20,1.0,5,20,8,1,0,0,229,0,Uttar Pradesh,1.0,1,0.4,10,1502.0,0,0.0,0.0,premium,1,1,1.0,1.0,1,156,,,,,,,,,,,,Uttar Pradesh,5514.0,0.6006528835690969,3.025208560029017,0.5,1.0,1.0
DELIVERED,641300392975_1,2022-08-13,odisha, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,Return,752022,odisha,64.3,1350,114,1464,2022-08-13,1.0,5,13,8,1,0,0,752,0,Odisha,1.0,1,0.5,8,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Odisha,1345.0,0.5836431226765799,2.992565055762082,0.5,1.0,1.0
DELIVERED,546528163157_1,2022-08-09,Telangana, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Return,500020,Telangana,64.3,1350,114,1448,2022-08-09,1.0,1,9,8,0,0,0,500,1,Telangana,1.0,1,0.5714285714285714,7,1448.0,-98,0.0,0.0787292817679558,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Telangana,1394.0,0.5903873744619799,2.988522238163558,0.5,1.0,1.0
CANCELLED,363376800481_1,2022-08-08,West Bengal,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XXL,1,1300.0,1300.0,rto,711227,West Bengal,61.9,1300,114,1414,2022-08-08,1.0,0,8,8,0,0,0,711,0,West Bengal,0.5,2,0.5555555555555556,9,1414.0,-114,0.0,0.08062234794908062,premium,1,1,1.0,0.2,5,111,,,,,,,,,,,,West Bengal,1352.0,0.5998520710059172,2.9903846153846154,0.25,1.0,1.0
DELIVERED,848334441754_1,2022-08-22,Punjab,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,5400 skyblue,Semi Stitched,1,1999.0,1999.0,Delivered,143101,Punjab,99.86,2097,0,2101,2022-08-22,0.0,0,22,8,0,0,0,143,0,Punjab,0.5,2,0.3333333333333333,6,2101.0,-4,0.0,0.0,premium,1,1,1.0,0.6,5,211,,,,,,,,,,,,Punjab,2824.0,0.6136685552407932,3.0155807365439093,0.25,1.0,1.0
