reason_for_credit_entry,sub_order_no,order_date,customer_state,product_name,sku,size,quantity,supplier_listed_price_(incl._gst_+_commission),supplier_discounted_price_(incl_gst_and_commision),order_status,pin,delivery_state,gst_amount,meesho_price,shipping_charges_total,final_price,forward_order_date,is_rto
DELIVERED,640125783153_1,2022-08-25,Gujarat,Stylish designer digital printed work lehenga choli with duppata ,Dhk 1100,Semi Stitched,1,1500.0,1500.0,Delivered,382415,Gujarat,71.44,1500,148,1648,2022-08-25,0.0
DELIVERED,403153127441_1,2022-08-08,Uttar Pradesh,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLACK),1101 black,Semi Stitched,1,1749.0,1749.0,Delivered,226016,Uttar Pradesh,87.96,1847,0,1847,2022-08-08,0.0
DELIVERED,882312666682_1,2022-08-20,Uttar Pradesh,FIVESTAR beautiful Designer Saree on premium Soft Net fabric with Sequence and Embroidery work and blouse on Velvet fabric with Sequence and Embroidery work,323,Free Size,1,1399.0,1399.0,Return,229128,Uttar Pradesh,71.52,1502,0,1502,2022-08-20,1.0
DELIVERED,641300392975_1,2022-08-13,odisha, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,Return,752022,odisha,64.3,1350,114,1464,2022-08-13,1.0
DELIVERED,546528163157_1,2022-08-09,Telangana, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Return,500020,Telangana,64.3,1350,114,1448,2022-08-09,1.0
CANCELLED,363376800481_1,2022-08-08,West Bengal,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XXL,1,1300.0,1300.0,rto,711227,West Bengal,61.9,1300,114,1414,2022-08-08,1.0
DELIVERED,848334441754_1,2022-08-22,Punjab,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,5400 skyblue,Semi Stitched,1,1999.0,1999.0,Delivered,143101,Punjab,99.86,2097,0,2101,2022-08-22,0.0
DELIVERED,354258590368_1,2022-08-15,Assam, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Delivered,782447,Assam,64.3,1350,125,1475,2022-08-15,0.0
RTO_COMPLETE,261363877240_1,2022-08-02,Uttar Pradesh,Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ,Ad 009 a,XXL,1,1500.0,1500.0,rto,247001,Uttar Pradesh,71.44,1500,110,1610,2022-08-02,1.0
DELIVERED,236795271202_1,2022-08-21,Others, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Return,600120,Others,64.3,1350,114,1464,2022-08-21,1.0
DELIVERED,755828660648_1,2022-08-29,Kerala,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,671121,Kerala,24.72,519,0,519,2022-08-29,0.0
DELIVERED,507304078237_1,2022-08-07,Madhya Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1311.0,1311.0,Return,472118,Madhya Pradesh,62.44,1311,114,1409,2022-08-07,1.0
